Epoch-Num	Learning-Rate	Train-Loss	Train-acc-B	Train-acc	Valid-Loss	Valid-acc-B	Valid-acc	
0.000000	0.010000	2.454000	18.552000	23.785000	2.377000	22.000000	29.432000	
1.000000	0.009999	2.294000	24.750000	32.943000	2.228000	28.554000	38.726000	
2.000000	0.009998	2.185000	29.556000	38.824000	2.136000	33.504000	44.406000	
3.000000	0.009996	2.115000	34.029000	43.142000	2.070000	39.868000	49.225000	
4.000000	0.009993	2.048000	36.811000	46.332000	1.974000	43.789000	54.389000	
5.000000	0.009990	2.028000	38.583000	48.698000	1.918000	43.013000	53.184000	
6.000000	0.009987	1.971000	41.557000	51.953000	1.964000	41.190000	51.979000	
7.000000	0.009983	1.905000	45.357000	55.686000	1.754000	55.333000	64.372000	
8.000000	0.009978	1.911000	45.489000	55.773000	1.764000	51.787000	62.306000	
9.000000	0.009973	1.865000	48.037000	57.704000	1.702000	60.694000	69.019000	
10.000000	0.009967	1.829000	50.642000	60.352000	1.754000	56.836000	65.921000	
11.000000	0.009961	1.818000	51.181000	60.547000	1.676000	62.383000	69.880000	
12.000000	0.009954	1.788000	52.124000	61.632000	1.661000	61.806000	69.707000	
13.000000	0.009947	1.767000	56.026000	64.062000	1.611000	67.985000	75.387000	
14.000000	0.009939	1.738000	57.593000	65.929000	1.587000	69.353000	75.559000	
15.000000	0.009931	1.726000	59.581000	67.057000	1.572000	70.980000	77.108000	
16.000000	0.009922	1.695000	60.494000	67.318000	1.649000	67.780000	72.978000	
17.000000	0.009912	1.702000	59.950000	67.773000	1.569000	70.047000	76.592000	
18.000000	0.009902	1.681000	62.943000	69.466000	1.599000	69.462000	74.699000	
19.000000	0.009892	1.674000	64.204000	70.095000	1.634000	67.938000	73.322000	
20.000000	0.009881	1.658000	63.850000	70.269000	1.521000	72.738000	77.453000	
21.000000	0.009869	1.655000	64.270000	70.269000	1.539000	73.858000	78.657000	
22.000000	0.009857	1.637000	66.185000	72.222000	1.575000	68.948000	75.043000	
23.000000	0.009844	1.621000	66.221000	72.483000	1.554000	71.045000	75.559000	
24.000000	0.009831	1.609000	67.932000	73.112000	1.531000	72.875000	78.141000	
25.000000	0.009818	1.620000	66.720000	72.222000	1.569000	71.377000	75.904000	
26.000000	0.009803	1.602000	68.131000	73.850000	1.516000	73.544000	79.174000	
27.000000	0.009789	1.601000	68.561000	73.416000	1.541000	73.018000	76.592000	
28.000000	0.009773	1.595000	69.517000	73.850000	1.556000	71.270000	77.108000	
29.000000	0.009758	1.565000	70.348000	75.239000	1.633000	66.684000	71.429000	
30.000000	0.009741	1.589000	69.487000	74.045000	1.549000	72.306000	76.592000	
31.000000	0.009725	1.547000	72.672000	76.823000	1.552000	70.836000	76.248000	
32.000000	0.009707	1.578000	69.962000	74.740000	1.491000	78.797000	81.411000	
33.000000	0.009690	1.540000	73.050000	77.713000	1.488000	77.710000	81.583000	
34.000000	0.009671	1.554000	72.082000	76.020000	1.447000	76.243000	80.379000	
35.000000	0.009652	1.539000	72.337000	76.888000	1.453000	77.716000	81.928000	
36.000000	0.009633	1.532000	74.411000	77.713000	1.455000	76.966000	80.379000	
37.000000	0.009613	1.538000	72.740000	76.801000	1.520000	73.626000	78.141000	
38.000000	0.009593	1.507000	74.604000	78.516000	1.420000	80.314000	82.960000	
39.000000	0.009572	1.542000	72.541000	76.411000	1.490000	74.193000	78.485000	
40.000000	0.009551	1.512000	73.862000	78.190000	1.472000	77.393000	81.583000	
41.000000	0.009529	1.501000	75.258000	78.928000	1.438000	79.457000	82.788000	
42.000000	0.009507	1.507000	75.489000	78.602000	1.441000	77.392000	81.928000	
43.000000	0.009484	1.523000	73.817000	77.908000	1.447000	79.234000	82.272000	
44.000000	0.009460	1.476000	76.643000	80.165000	1.437000	77.875000	82.444000	
45.000000	0.009437	1.511000	75.355000	78.516000	1.459000	76.196000	80.207000	
46.000000	0.009412	1.486000	76.649000	79.883000	1.441000	78.929000	81.583000	
47.000000	0.009388	1.496000	75.393000	78.819000	1.453000	80.233000	83.133000	
48.000000	0.009363	1.490000	76.618000	79.839000	1.491000	76.544000	79.690000	
49.000000	0.009337	1.503000	76.349000	79.492000	1.436000	78.365000	81.756000	
50.000000	0.009311	1.474000	77.979000	80.924000	1.441000	80.562000	82.616000	
51.000000	0.009284	1.458000	78.909000	81.879000	1.430000	79.258000	83.133000	
52.000000	0.009257	1.469000	77.910000	81.120000	1.422000	81.710000	83.649000	
53.000000	0.009229	1.477000	77.184000	80.122000	1.420000	79.897000	82.616000	
54.000000	0.009201	1.457000	78.515000	81.467000	1.424000	80.623000	82.788000	
55.000000	0.009173	1.470000	77.450000	80.577000	1.447000	79.003000	81.067000	
56.000000	0.009144	1.470000	78.018000	80.577000	1.440000	79.885000	82.616000	
57.000000	0.009115	1.472000	77.368000	80.295000	1.472000	79.967000	81.411000	
58.000000	0.009085	1.444000	79.693000	82.053000	1.384000	83.257000	85.370000	
59.000000	0.009055	1.466000	78.822000	81.185000	1.403000	78.185000	81.928000	
60.000000	0.009024	1.462000	78.825000	81.272000	1.411000	80.829000	83.133000	
61.000000	0.008993	1.456000	78.619000	81.445000	1.446000	77.677000	81.756000	
62.000000	0.008961	1.459000	78.736000	81.467000	1.476000	74.642000	79.174000	
63.000000	0.008929	1.443000	80.545000	83.051000	1.433000	79.419000	82.788000	
64.000000	0.008897	1.435000	79.715000	83.008000	1.412000	80.927000	82.788000	
65.000000	0.008864	1.435000	80.244000	82.617000	1.408000	81.141000	83.649000	
66.000000	0.008831	1.443000	80.590000	82.964000	1.433000	79.523000	81.928000	
67.000000	0.008797	1.411000	81.387000	83.789000	1.413000	79.606000	82.444000	
68.000000	0.008763	1.429000	81.519000	83.550000	1.444000	76.489000	80.723000	
